,Constituency,,Population,,Seats,
"CREATE(Constituency {Name: """,Carlow–Kilkenny,""",  Population:",145659,", Seats:",5,"}),"
,Cavan–Monaghan,""",  Population:",120483,", Seats:",4,"}),"
,Clare,""",  Population:",111336,", Seats:",4,"}),"
,Cork East,""",  Population:",114365,", Seats:",4,"}),"
,Cork North–Central,""",  Population:",117170,", Seats:",4,"}),"
,Cork North–West,""",  Population:",86593,", Seats:",3,"}),"
,Cork South–Central,""",  Population:",117952,", Seats:",4,"}),"
,Cork South–West,""",  Population:",82952,", Seats:",3,"}),"
,Donegal,""",  Population:",152358,", Seats:",5,"}),"
,Dublin Bay North,""",  Population:",146512,", Seats:",5,"}),"
,Dublin Bay South,""",  Population:",116396,", Seats:",4,"}),"
,Dublin Central,""",  Population:",89030,", Seats:",3,"}),"
,Dublin Fingal,""",  Population:",141162,", Seats:",5,"}),"
,Dublin Mid–West,""",  Population:",110427,", Seats:",4,"}),"
,Dublin North–West,""",  Population:",90534,", Seats:",3,"}),"
,Dublin Rathdown,""",  Population:",87470,", Seats:",3,"}),"
,Dublin South–Central,""",  Population:",114660,", Seats:",4,"}),"
,Dublin South–West,""",  Population:",144908,", Seats:",5,"}),"
,Dublin West,""",  Population:",113179,", Seats:",4,"}),"
,Dún Laoghaire,""",  Population:",118791,", Seats:",4,"}),"
,Galway East,""",  Population:",89564,", Seats:",3,"}),"
,Galway West,""",  Population:",150874,", Seats:",5,"}),"
,Kerry,""",  Population:",145502,", Seats:",5,"}),"
,Kildare North,""",  Population:",115350,", Seats:",4,"}),"
,Kildare South,""",  Population:",115350,", Seats:",3,"}),"
,Laois,""",  Population:",87745,", Seats:",3,"}),"
,Limerick City,""",  Population:",113835,", Seats:",4,"}),"
,Limerick County,""",  Population:",83834,", Seats:",3,"}),"
,Longford–Westmeath,""",  Population:",116802,", Seats:",4,"}),"
,Louth,""",  Population:",143272,", Seats:",5,"}),"
,Mayo,""",  Population:",120332,", Seats:",4,"}),"
,Meath East,""",  Population:",86572,", Seats:",3,"}),"
,Meath West,""",  Population:",85550,", Seats:",3,"}),"
,Offaly,""",  Population:",87640,", Seats:",3,"}),"
,Roscommon–Galway,""",  Population:",84586,", Seats:",3,"}),"
,Sligo–Leitrim,""",  Population:",119153,", Seats:",4,"}),"
,Tipperary,""",  Population:",147801,", Seats:",5,"}),"
,Waterford,""",  Population:",113795,", Seats:",4,"}),"
,Wexford,""",  Population:",145320,", Seats:",5,"}),"
,Wicklow,""",  Population:",141012,", Seats:",5,});
